No,word,POST,Meaning,Amharic,"["""
4803,topography,n,The art of representing on a map the physical features of any locality or region with accuracy,የመሬት ገጽታ,
4804,torpor,n,"Apathy,,lack of energy, listlessness",ድካም,
4805,torrid,adj,Excessively hot,እጅግ ሞቃት,
4806,tortious,adj,Wrongful,ስህተት,
4807,tortuous,adj,Abounding in irregular bends or turns,የሚጠምጠም,
4808,torturous,adj,Marked by extreme suffering,አሳዛኝ,
4809,tractable,adj,Easily led or controlled,ታዛዥ,
4810,trait,n,A distinguishing feature or quality,ባህሪ,
4811,trajectory,n,The path described by a projectile moving under given forces,አቅጣጫ,
4812,trammel,n,An impediment,እንቅፋት,
4813,tranquil,adj,Calm,ሰላም,
4814,tranquility,n,Calmness,ሰላም,
4815,tranquilize,v,To soothe,ማረጋጋት,
4816,transact,v,To do business,መገበያየት,
4817,transalpine,adj,Situated on the other side of the Alps,ከአልፕስ ባሻገር,
4818,transatlantic,adj,Situated beyond or on the other side of the Atlantic,ከአትላንቲክ ባሻገር,
4819,transcend,v,"To surpass,,to surpass, go beyond",መብለጥ,
4820,transcendent,adj,Surpassing,የላቀ,
4821,transcontinental,adj,Extending or passing across a continent,አህጉር አቋራጭ,
4822,transcribe,v,To write over again (something already written),ማስገልበጥ,
4823,transcript,n,A copy made directly from an original,ቅጂ,
4824,transfer,v,"To convey, remove, or cause to pass from one person or place to another",ማስተላለፍ,
4825,transferable,adj,Capable of being conveyed from one person or place to another,ሊተላለፍ የሚችል,
4826,transferee,n,The person to whom a transfer is made,ተቀባይ,
4827,transference,n,The act of conveying from one person or place to another,ማስተላለፍ,
4828,transferrer,n,One who or that which conveys from one person or place to another,አስተላላፊ,
4829,transfigure,v,To give an exalted meaning or glorified appearance to,ማሻሻል,
4830,transfuse,v,"To pour or cause to pass, as a fluid, from one vessel to another",ማፍሰስ,
4831,transfusible,adj,Capable of being poured from one vessel to another,የሚፈስ,
4832,transfusion,n,The act of pouring from one vessel to another,መፍሰስ,
4833,transgress,v,To break a law,መጣስ,
4834,transience,n,Something that is of short duration,ጊዜያዊነት,
4835,transient,n,"One who or that which is only of temporary existence,,fleeting, transitory",ጊዜያዊ,
4836,transition,n,"Passage from one place, condition, or action to another",ሽግግር,
4837,transitory,adj,Existing for a short time only,ጊዜያዊ,
4838,translate,v,To give the sense or equivalent of in another language or dialect,መተርጎም,
4839,translator,n,An interpreter,ተርጓሚ,
4840,translucence,n,The property or state of allowing the passage of light,ግልጽነት,
4841,translucent,adj,Allowing the passage of light,ግልጽ,
4842,transmissible,adj,That may e sent through or across,የሚተላለፍ,
4843,transmission,n,The act of sending through or across,ማስተላለፍ,
4844,transmit,v,To send trough or across,ማስተላለፍ,
4845,transmute,v,"To change in nature, substance, or form",መቀየር,
4846,transparent,adj,Easy to see through or understand,ግልጽ,
4847,transpire,v,To come to pass,መከሰት,
4848,transplant,v,To remove and plant in another place,መትከል,
4849,transposition,n,The act of reversing the order or changing the place of,ማዞር,
4850,transverse,adj,Lying or being across or in a crosswise direction,አግድም,
4851,travail,n,Hard or agonizing labor,ከባድ ሥራ,
4852,travesty,n,A grotesque imitation,አስቂኝ,
4853,treacherous,adj,Perfidious,ከሃዲ,
4854,treachery,n,"Violation of allegiance, confidence, or plighted faith",ክህደት,
4855,treasonable,adj,"Of the nature of betrayal, treachery, or breech of allegiance",ክህደት,
4856,treatise,n,An elaborate literary composition presenting a subject in all its parts,መጽሐፍ,
4857,treble,adj,Multiplied by three,በሦስት የተባዛ,
4858,trebly,adv,Triply,በሦስት እጥፍ,
4859,tremendous,adj,Awe-inspiring,አስደናቂ,
4860,tremor,n,An involuntary trembling or shivering,መንቀጥቀጥ,
4861,tremulous,adj,Characterized by quivering or unsteadiness,የሚንቀጠቀጥ,
4862,trenchant,adj,Cutting deeply and quickly,ሹል,
4863,trepidation,n,"Nervous uncertainty of feeling,,fear",ፍርሃት,
4864,trestle,n,An open braced framework for supporting the horizontal stringers of a railwaybridge,ድጋፍ,
4865,triad,n,A group of three persons of things,ሦስት,
4866,tribune,n,Any champion of the rights and liberties of the people: often used as the name for a newspaper,ትሪቡን,
4867,trickery,n,Artifice,ተንኮል,
4868,tricolor,adj,Of three colors,ሦስት ቀለም,
4869,tricycle,n,A three-wheeled vehicle,ሦስት ጎማ,
4870,trident,n,The three-pronged fork that was the emblem of Neptune,ሦስት ጫፍ,
4871,triennial,adj,Taking place every third year,የሦስት ዓመት,
4872,trimness,n,Neatness,ውበት,
4873,trinity,n,A threefold personality existing in the one divine being or substance,ሥላሴ,
4874,trio,n,Three things grouped or associated together,ሦስት,
4875,triple,adj,Threefold,ሦስት እጥፍ,
4876,triplicate,adj,Composed of or pertaining to three related things or parts,ሦስት እጥፍ,
4877,triplicity,n,The state of being triple or threefold,ሦስት እጥፍ,
4878,tripod,n,"A three-legged stand, usually hinged near the top, for supporting some instrument",ሦስት እግር,
4879,trisect,v,"To divide into three parts, especially into three equal parts",በሦስት መክፈል,
4880,trite,adj,"Made commonplace by frequent repetition,,overused, unoriginal",የተለመደ,
4881,triumvir,n,One of three men united coordinately in public office or authority,ሦስት መሪዎች,
4882,trivial,adj,Of little importance or value,ትንሽ,
4883,troublesome,adj,Burdensome,አስቸጋሪ,
4884,truculence,n,Ferocity,ጭካኔ,
4885,truculent,adj,Having the character or the spirit of a savage,ጨካኝ,
4886,truism,n,A statement so plainly true as hardly to require statement or proof,የታወቀ እውነት,
4887,truncate,v,"to shorten, reduce",ማሳጠር,
4888,truthful,adj,Veracious,እውነተኛ,
4889,turgid,adj,Swollen,ያበጠ,
4890,turpitude,n,Depravity,ክፋት,
4891,tutelage,n,The act of training or the state of being under instruction,ማስተማር,
4892,tutelar,adj,Protective,ጠባቂ,
4893,tutorship,n,The office of a guardian,አስተማሪነት,
4894,twinge,n,A darting momentary local pain,ህመም,
4895,typical,adj,Characteristic,የተለመደ,
4896,typify,v,To serve as a characteristic example of,ማሳየት,
4897,typographical,adj,Pertaining to typography or printing,የህትመት,
4898,typography,n,"The arrangement of composed type, or the appearance of printed matter",የህትመት ጥበብ,
4899,tyrannical,adj,Despotic,ጨካኝ,
4900,tyranny,n,Absolute power arbitrarily or unjustly administrated,ጭቆና,
4901,tyro,n,One slightly skilled in or acquainted with any trade or profession,ጀማሪ,
4902,ubiquitous,adj,Being present everywhere,በሁሉም ቦታ,
4903,ulterior,adj,Not so pertinent as something else to the matter spoken of,የሚደበቅ,
4904,ultimate,adj,Beyond which there is nothing else,የመጨረሻ,
4905,ultimatum,n,"A final statement or proposal, as concerning terms or conditions",የመጨረሻ ማስጠንቀቂያ,
4906,ultramontane,adj,"Beyond the mountains, especially beyond the Alps (that is, on their Italian side)",ከተራራዎች ባሻገር,
4907,ultramundane,adj,Pertaining to supernatural things or to another life,ከዓለም ባሻገር,
4908,umbrage,n,A sense of injury,ቅሬታ,
4909,unaccountable,adj,Inexplicable,የማይታወቅ,
4910,unaffected,adj,Sincere,ቅን,
4911,unanimity,n,The state or quality of being of one mind,አንድነት,
4912,unanimous,adj,Sharing the same views or sentiments,አንድ ልብ,
4913,unavoidable,adj,Inevitable,የማይቀር,
4914,unbearable,adj,Unendurable,የማይታገስ,
4915,unbecoming,adj,"Unsuited to the wearer, place, or surroundings",የማይገባ,
4916,unbelief,n,Doubt,አለመታመን,
4917,unbiased,adj,"Impartial, as judgment",ገለልተኛ,
4918,unbridled,adj,Being without restraint,የማይገታ,
4919,uncommon,adj,Rare,እምብዛም,
4920,unconscionable,adj,Ridiculously or unjustly excessive,ከመጠን በላይ,
4921,unconscious,adj,"Not cognizant of objects, actions, etc",ራሱን የማያውቅ,
4922,unction,n,The art of anointing as with oil,ቅባት,
4923,unctuous,adj,Oily,ዘይት,
4924,undeceive,v,"To free from deception, as by apprising of the real state of affairs",ማስተካከል,
4925,undercharge,v,To make an inadequate charge for,ዝቅተኛ ዋጋ,
4926,underexposed,adj,"Insufficiently exposed for proper or full development, as negatives in photography",በቂ ያልሆነ,
4927,undergarment,n,A garment to be worn under the ordinary outer garments,የውስጥ ልብስ,
4928,underhanded,adj,Clandestinely carried on,ስውር,
4929,underlie,v,To be the ground or support of,መደገፍ,
4930,underling,n,A subordinate,ተገዢ,
4931,underman,v,To equip with less than the full complement of men,ያልተሟላ,
4932,undermine,v,To subvert in an underhand way,ማውረስ,
4933,underrate,v,To undervalue,ማቃለል,
4934,undersell,v,To sell at a lower price than,በርካሽ መሸጥ,
4935,undersized,adj,Of less than the customary size,ትንሽ,
4936,understate,v,"To fail to put strongly enough, as a case",ማቃለል,
4937,undervalue,v,To underestimate,ማቃለል,
4938,underworld,n,Hades,ገሀነም,
4939,underwrite,v,To issue or be party to the issue of a policy of insurance,መድን,
4940,undue,adj,More than sufficient,ከመጠን በላይ,
4941,undulate,v,To move like a wave or in waves,መወዛወዝ,
4942,undulous,adj,Resembling waves,እንደ ማዕበል,
4943,unfavorable,adj,Adverse,የማይመች,
4944,ungainly,adj,Clumsy,አደባባይ,
4945,unguent,n,Any ointment or lubricant for local application,ቅባት,
4946,unicellular,adj,Consisting of a single cell,አንድ ሴል,
4947,unify,v,To cause to be one,ማዋሃድ,
4948,unique,adj,Being the only one of its kind,ልዩ,
4949,unison,n,A condition of perfect agreement and accord,አንድነት,
4950,unisonant,adj,Being in a condition of perfect agreement and accord,አንድ,
4951,Unitarian,adj,Pertaining to a religious body that rejects the doctrine of the Trinity,ዩኒታሪያን,
4952,univalence,n,Monovalency,አንድ እሴት,
4953,unlawful,adj,Illegal,ህገ-ወጥ,
4954,unlimited,adj,Unconstrained,ያልተገደበ,
4955,unnatural,adj,Artificial,ተፈጥሯዊ ያልሆነ,
4956,unnecessary,adj,Not essential under the circumstances,አላስፈላጊ,
4957,unruly,adj,disobedient,አማፂ,
4958,unsettle,v,To put into confusion,ማደናገር,
4959,unsophisticated,n_pl,Showing inexperience,ቀላል,
4960,unspeakable,adj,Abominable,የማይገለጽ,
4961,untimely,adj,Unseasonable,ጊዜው ያልሆነ,
4962,untoward,adj,Causing annoyance or hindrance,የማይመች,
4963,unutterable,adj,Inexpressible,የማይገለጽ,
4964,unwieldy,adj,"Moved or managed with difficulty, as from great size or awkward shape",ከባድ,
4965,unwise,adj,Foolish,ሞኝ,
4966,unyoke,v,To separate,መለየት,
4967,upbraid,v,To reproach as deserving blame,መውቀስ,
4968,upcast,n,A throwing upward,ወደ ላይ መወርወር,
4969,upheaval,n,Overthrow or violent disturbance of established order or condition,ሁከት,
4970,upheave,v,To raise or lift with effort,ማንሳት,
4971,up-keep,n,Maintenance,ጥገና,
4972,uppermost,adj,First in order of precedence,ከፍተኛ,
4973,uproarious,adj,Noisy,ጫጫታ,
4974,uproot,v,To eradicate,ማውጣት,
4975,upturn,v,To throw into confusion,ማዞር,
4976,urban,adj,"Of, or pertaining to, or like a city",የከተማ,
4977,urbanity,n,Refined or elegant courtesy,ጨዋነት,
4978,urchin,n,"A roguish, mischievous boy",ተንኮለኛ ልጅ,
4979,urgency,n,The pressure of necessity,አስቸኳይነት,
4980,usage,n,Treatment,አጠቃቀም,
4981,usurious,adj,Taking unlawful or exorbitant interest on money loaned,አሳፋሪ,
4982,usurp,v,To take possession of by force,በኃይል መያዝ,
4983,usury,n,"The demanding for the use of money as a loan, a rate of interest beyond what is allowed by law",አሳፋሪነት,
4984,utilitarianism,n,The ethical doctrine that actions are right because they are useful or of beneficial tendency,ዩቲሊታሪያኒዝም,
4985,utility,n,Fitness for some desirable practical purpose,ጥቅም,
4986,utmost,n,The greatest possible extent,ከፍተኛ,
4987,utopia,n,a perfect place,ዩቶፒያ,
4988,vacate,v,To leave,መተው,
4989,vaccinate,v,To inoculate with vaccine virus or virus of cowpox,ክትባት መስጠት,
4990,vacillate,v,To waver,ማመንታት,
4991,vacuous,adj,Empty,ባዶ,
4992,vacuum,n,A space entirely devoid of matter,ባዶ,
4993,vagabond,n,A wanderer,ተቅበዝባዥ,
4994,vagrant,n,An idle wanderer,ተቅበዝባዥ,
4995,vainglory,n,"Excessive, pretentious, and demonstrative vanity",ትዕቢት,
4996,vale,n,Level or low land between hills,ሸለቆ,
4997,valediction,n,A bidding farewell,ሰላምታ,
